 ,Area,Mean,Min,Max
1,26,102.731,84,119
2,38,88.789,83,97
3,8,94.250,89,101
4,5,92.600,89,96
5,7,82.143,80,84
6,16,99.812,90,107
7,7,89.286,89,90
8,29,110.759,89,135
9,27,120.852,103,141
10,6,91.667,89,97
11,15,119.200,88,145
12,25,139.800,127,149
13,5,111.000,107,118
14,5,113.000,104,123
15,36,153.056,135,167
16,30,109.900,97,118
17,24,107.583,91,141
18,11,89.818,80,101
19,24,87.042,72,98
20,26,100.308,88,110
21,17,84.000,80,93
22,5,84.600,81,87
23,32,156.844,116,173
24,25,112.080,101,124
25,8,88.500,85,91
26,28,109.607,97,132
27,12,86.333,75,103
28,30,105.200,90,128
29,4,114.500,109,126
30,5,101.000,92,111
31,5,83.200,81,86
32,20,125.150,111,137
33,12,99.583,95,103
34,22,105.455,95,112
35,9,90.333,85,95
36,10,106.700,91,116
37,8,86.500,83,90
38,26,103.000,92,115
39,8,87.500,86,90
40,18,103.000,90,113
41,15,103.667,99,109
42,8,95.375,94,97
43,9,83.444,77,92
44,24,99.833,92,109
45,15,87.467,82,92
46,5,85.000,81,92
47,8,91.375,88,94
48,4,94.500,89,99
49,36,91.194,79,102
50,9,100.444,94,107
51,7,98.143,94,102
52,12,103.333,89,114
53,5,105.800,91,114
54,4,90.250,89,91
55,38,87.658,75,97
56,13,166.769,152,176
57,16,89.375,77,99
58,18,99.556,82,110
59,5,112.800,78,163
60,4,82.500,80,87
61,5,83.200,78,89
62,35,91.114,78,109
63,23,99.043,72,173
64,15,92.200,75,113
65,6,82.333,80,87
66,5,90.000,87,93
67,15,131.600,120,138
68,6,95.000,89,100
69,7,94.286,91,97
70,7,111.143,106,116
71,14,101.643,82,121
72,38,93.132,78,109
73,5,87.600,82,93
74,34,106.794,84,126
75,9,85.111,80,87
76,39,96.513,79,125
77,5,82.400,79,88
78,39,112.205,78,139
79,13,122.462,94,139
80,14,96.429,90,102
81,9,119.000,113,126
82,4,110.000,109,112
83,6,82.500,78,88
84,6,82.333,79,88
85,9,96.889,83,107
86,5,107.200,100,113
87,9,79.444,74,84
88,25,131.800,83,145
89,28,82.964,75,92
90,4,81.250,80,83
91,16,137.125,124,150
92,4,122.750,109,130
93,6,116.167,109,122
94,34,111.059,73,146
95,14,100.071,86,108
96,37,89.378,78,102
97,30,116.867,79,133
98,35,125.286,117,132
99,18,107.389,104,112
100,10,93.700,80,107
101,37,89.568,79,100
102,38,79.842,75,84
103,13,83.538,78,91
104,18,96.056,81,105
105,7,83.857,81,89
106,33,121.545,88,143
107,8,81.375,79,85
108,4,82.000,79,84
109,4,92.750,90,96
110,34,81.912,76,90
111,4,96.750,94,99
112,7,94.714,88,103
113,5,87.400,83,92
114,5,117.000,116,118
115,26,84.115,78,91
116,10,115.200,103,121
117,5,76.400,75,78
118,28,95.357,79,112
119,29,101.241,76,109
120,14,94.071,80,113
121,7,92.857,74,105
122,26,151.154,116,167
123,9,108.889,89,129
124,28,85.964,80,91
125,17,87.882,76,98
126,5,89.400,85,93
127,4,86.500,83,90
128,7,86.143,78,93
129,36,121.861,94,141
130,10,90.300,85,103
131,13,88.615,80,100
132,31,92.806,81,102
133,6,84.000,80,89
134,21,123.429,69,138
135,4,93.750,92,95
136,12,89.000,78,104
137,34,98.647,82,114
138,20,91.050,77,106
139,16,95.375,79,115
140,7,85.143,82,89
141,35,95.971,80,108
142,20,83.650,78,87
143,37,112.135,79,120
144,35,112.457,82,126
145,13,109.308,98,116
146,19,103.368,79,118
147,4,104.250,102,106
148,36,97.861,79,128
149,37,88.730,80,99
150,26,96.385,80,117
151,22,107.773,85,123
152,23,88.565,84,94
153,5,85.200,79,88
154,6,120.000,95,145
155,22,106.136,82,116
156,22,87.636,80,104
157,6,82.667,80,85
158,15,92.533,81,104
159,4,85.500,83,88
160,38,98.579,80,117
161,22,118.909,83,181
162,4,89.250,88,91
163,20,114.950,80,129
164,8,94.375,88,100
165,11,103.818,80,125
166,4,81.500,80,82
167,5,86.400,82,90
168,9,92.667,78,109
169,4,142.750,138,149
170,5,104.400,83,123
171,21,80.381,75,85
172,7,81.857,80,84
173,8,87.625,82,94
174,7,81.143,77,84
175,6,84.333,83,86
176,12,88.250,85,92
177,4,91.500,84,99
178,5,86.600,83,90
179,33,108.455,83,124
180,5,134.600,118,144
181,33,87.667,79,96
182,5,95.800,93,98
183,18,97.444,84,119
184,5,117.600,99,129
185,34,109.088,84,151
186,30,92.900,82,104
187,16,106.312,82,122
188,12,113.583,102,121
189,4,91.250,89,95
190,18,93.722,82,110
191,31,103.161,73,184
192,7,128.857,91,164
193,8,105.875,99,112
194,34,91.559,82,99
195,26,100.962,79,117
196,4,98.750,93,103
197,28,86.071,79,94
198,14,86.143,81,91
199,20,84.200,80,87
200,6,115.500,104,125
201,11,88.091,82,98
202,22,87.864,77,105
203,10,97.200,91,101
204,5,113.600,111,115
205,9,84.222,81,92
206,5,97.400,91,103
207,13,82.462,82,84
208,11,98.091,83,118
209,25,92.800,78,103
210,20,93.700,76,113
211,10,86.200,80,90
212,9,104.667,91,117
213,39,131.872,108,146
214,11,82.727,80,88
215,24,95.833,78,108
216,4,115.500,115,116
217,9,79.444,75,85
218,13,95.462,89,104
219,6,87.500,85,91
220,7,114.000,108,123
221,36,103.611,80,122
222,6,81.500,79,85
223,4,90.250,89,91
224,11,109.273,87,123
225,38,130.289,101,145
226,19,77.737,75,81
227,8,78.500,71,86
228,9,116.000,110,120
229,9,113.000,108,120
230,24,93.208,78,113
231,38,103.132,80,124
232,7,81.571,80,83
233,7,93.143,84,101
234,4,96.500,95,99
235,13,100.308,91,109
236,37,90.676,75,107
237,28,103.679,84,120
238,25,94.200,81,122
239,15,91.267,78,105
240,23,106.391,84,129
241,4,98.000,89,110
242,16,116.562,104,138
243,4,92.500,85,101
244,18,110.444,91,123
245,24,105.708,82,139
246,7,114.286,104,124
247,7,79.286,79,80
248,8,112.125,107,118
249,8,86.750,81,95
250,22,85.545,78,93
251,26,133.346,75,191
252,7,123.143,107,132
253,36,87.667,79,96
254,37,109.270,100,119
255,19,98.000,80,108
256,19,85.895,77,94
257,29,92.034,79,105
258,6,131.833,131,133
259,7,112.571,106,129
260,14,88.214,79,105
261,15,82.533,73,101
262,38,99.474,81,122
263,11,87.091,81,91
264,4,75.750,75,77
265,11,97.091,85,107
266,7,106.714,92,118
