 ,Area,Mean,Min,Max
1,18,139.222,127,146
2,27,146.481,132,155
3,18,146.944,135,154
4,15,150.133,131,164
5,33,153.879,138,161
6,18,156.944,143,164
7,37,170.297,151,182
8,16,129.438,108,140
9,37,144.757,127,157
10,36,149.778,136,159
11,20,129.600,121,139
12,15,119.667,108,132
13,38,126.342,107,143
14,15,145.600,139,152
15,18,155.333,142,165
16,16,150.438,134,158
17,30,156.800,140,166
18,31,150.290,135,162
19,16,133.938,115,147
20,20,138.750,128,146
21,19,152.421,145,157
22,15,141.133,133,147
23,33,131.485,117,141
24,33,154.727,144,163
25,22,147.182,140,155
26,40,141.400,136,145
27,18,147.444,144,150
28,30,159.800,153,165
29,26,157.808,150,163
30,23,161.478,157,165
31,31,153.710,148,159
32,36,161.972,154,170
33,20,166.550,158,172
34,29,153.483,135,165
35,38,159.368,151,166
36,25,146.400,135,161
37,37,149.865,137,158
38,23,125.348,111,134
39,17,122.353,110,132
40,25,146.040,123,171
41,30,160.467,152,165
42,27,140.444,121,148
43,19,136.737,114,148
44,38,139.763,122,151
45,39,132.179,114,143
46,34,172.618,140,201
47,34,162.353,117,197
48,16,122.500,118,127
49,36,125.500,108,139
50,25,149.800,138,158
51,23,108.391,105,112
52,22,109.727,103,114
53,18,119.556,114,125
54,21,111.238,106,115
55,27,113.704,104,121
56,29,133.724,122,144
57,25,124.680,119,129
58,35,114.886,105,126
59,17,123.176,111,129
60,33,135.636,122,149
61,18,120.333,111,127
62,23,129.174,117,137
63,31,134.032,110,149
64,29,155.345,143,166
65,22,112.909,108,117
66,39,126.872,115,140
67,32,127.562,120,133
68,20,110.050,104,114
69,29,125.310,110,134
70,34,122.353,114,129
71,25,135.000,121,146
72,27,117.519,111,123
73,29,132.138,111,145
74,20,126.450,116,136
75,16,125.562,115,132
76,15,126.400,120,130
77,29,127.172,120,136
78,17,127.706,121,132
79,15,119.267,113,126
80,18,130.500,121,139
81,28,133.143,122,141
82,35,130.743,112,146
83,15,116.933,113,121
84,40,128.250,108,139
85,29,120.034,106,132
86,20,127.350,115,135
87,38,127.947,113,144
88,19,134.421,123,141
89,26,143.192,133,151
90,19,106.789,105,108
91,38,115.842,104,128
92,19,109.421,107,113
93,22,125.636,114,135
94,33,125.242,118,130
95,21,107.762,105,112
96,30,121.233,115,125
97,19,116.000,108,122
98,35,115.714,104,126
99,30,110.067,105,116
100,19,111.158,107,114
101,27,109.370,104,114
102,33,113.909,105,122
103,28,110.214,105,115
104,37,125.946,108,138
105,37,112.865,106,119
106,39,118.462,106,130
107,22,112.545,107,117
108,32,114.812,105,124
109,35,118.943,106,131
110,33,113.152,105,123
111,21,110.381,106,115
112,27,111.148,106,116
113,40,129.025,105,148
114,32,111.250,105,117
115,29,126.276,113,137
116,17,109.412,106,114
117,16,118.125,113,122
118,31,131.258,122,136
119,16,107.000,104,111
120,32,152.000,136,161
121,30,110.267,105,116
122,16,112.188,107,118
123,38,124.816,111,138
124,35,115.514,106,126
125,22,108.364,106,111
126,25,113.800,107,121
127,20,117.750,110,124
128,25,113.160,107,122
129,15,121.000,115,127
130,29,126.483,117,138
131,19,114.526,106,124
132,32,147.281,121,159
133,26,135.962,121,147
134,39,113.744,103,122
135,27,136.222,124,146
136,39,118.718,110,126
137,23,130.043,123,137
138,29,137.621,120,149
139,31,126.419,115,131
140,36,144.944,117,159
141,32,110.844,104,119
142,38,112.789,105,122
143,28,129.429,112,140
144,23,135.174,125,144
145,15,110.133,106,114
146,40,163.200,129,176
147,30,114.300,104,124
148,33,108.788,103,113
149,32,111.125,105,118
150,39,129.923,112,145
151,34,124.471,108,137
152,27,120.111,112,127
153,29,111.241,105,116
154,20,128.850,108,140
155,16,106.938,104,109
156,28,126.786,116,133
157,30,156.400,133,170
158,18,121.833,109,129
159,26,123.346,105,138
160,38,137.421,125,150
161,35,133.886,117,144
162,15,118.200,111,123
163,35,142.629,135,150
164,25,118.400,113,123
165,28,106.286,103,110
166,40,148.925,126,168
167,16,106.500,102,110
168,18,109.778,105,114
169,39,119.410,107,130
170,38,120.184,111,129
171,37,110.162,105,119
172,25,112.680,105,120
173,16,118.000,111,126
174,19,146.632,132,157
175,34,118.294,110,126
176,30,122.400,112,130
177,32,124.125,107,133
178,30,126.867,114,135
179,22,114.318,111,119
180,22,130.364,118,138
181,18,131.833,105,155
182,28,142.357,127,152
183,26,127.962,121,132
184,33,116.273,106,123
185,38,129.474,106,143
186,19,131.737,121,139
187,22,128.500,114,139
188,25,118.000,109,128
189,16,127.688,118,133
190,40,115.975,105,124
191,19,137.000,126,145
192,15,113.933,106,118
193,37,128.973,120,137
194,35,140.714,125,150
195,16,110.250,106,115
196,32,134.219,125,140
197,23,123.261,115,129
198,15,128.200,121,135
199,18,136.056,126,146
200,28,128.143,118,134
201,33,114.667,104,123
202,34,124.647,106,134
203,37,112.432,106,124
204,30,165.733,154,172
205,17,114.765,106,120
206,22,117.091,108,123
207,37,151.676,133,166
208,22,133.409,117,146
209,16,107.438,104,111
210,22,115.727,106,121
211,20,110.950,104,118
212,16,133.688,128,139
213,15,109.333,105,112
214,40,114.525,103,125
215,32,128.312,121,135
216,24,144.375,136,149
217,24,110.500,105,115
218,37,120.027,104,130
219,33,130.364,118,140
220,38,133.579,113,145
221,33,112.485,106,122
222,25,118.400,106,131
223,17,112.176,107,118
224,26,127.000,112,139
225,30,170.533,149,177
226,25,113.240,108,121
227,20,110.050,107,113
228,32,145.000,131,152
229,33,120.273,111,131
230,25,152.120,135,163
231,23,112.609,105,121
232,32,127.531,122,132
233,15,145.267,141,148
234,28,136.000,131,139
235,27,110.815,106,116
236,22,113.136,105,119
237,25,130.440,116,143
238,20,134.600,122,145
239,20,144.250,135,153
240,20,110.100,106,115
241,16,142.000,127,153
242,37,121.135,113,129
243,38,134.395,114,157
244,23,116.957,105,124
245,27,131.741,125,137
246,18,115.722,109,124
247,29,180.655,167,189
248,32,124.750,109,137
249,33,136.273,120,147
250,29,117.655,105,126
251,25,107.560,105,111
252,16,112.438,106,118
253,19,129.895,119,136
254,16,119.750,112,126
255,25,112.280,105,120
256,31,124.129,105,132
257,20,119.650,111,125
258,23,116.696,107,123
259,39,157.487,127,170
260,32,131.781,114,143
261,39,123.051,106,137
262,34,115.382,106,128
263,26,110.962,100,125
264,15,148.400,137,154
265,15,141.400,136,147
266,21,124.619,108,136
267,40,111.425,104,118
268,17,122.882,120,128
269,25,120.800,103,133
270,23,130.348,120,137
271,39,130.846,118,145
272,27,159.074,145,174
273,16,159.688,149,167
274,24,114.125,105,125
275,36,154.167,140,162
276,16,137.938,127,146
277,30,124.233,110,135
278,24,117.292,108,122
279,21,147.714,133,160
280,26,148.885,136,157
281,21,147.667,129,159
282,32,122.406,105,134
283,37,119.946,106,133
284,25,124.400,111,131
285,32,122.875,108,134
286,25,128.800,120,137
287,31,158.065,149,168
288,33,135.455,109,153
289,25,116.120,105,129
290,19,122.316,108,131
291,34,129.265,109,143
292,21,157.571,150,165
293,25,127.760,117,135
294,31,156.516,145,166
295,17,133.176,121,142
296,16,111.250,108,113
297,30,129.867,113,155
298,33,132.485,118,142
299,35,140.229,115,171
300,22,128.000,118,145
301,21,144.381,123,156
302,17,124.647,114,133
303,21,142.905,131,152
304,34,143.412,127,156
305,38,128.921,109,144
306,21,137.143,124,146
307,24,162.167,142,176
308,34,141.029,125,152
309,30,121.867,109,133
310,40,157.625,125,176
311,31,132.903,119,142
312,19,140.474,127,148
313,25,126.880,117,133
314,36,151.139,137,163
315,17,130.235,122,137
316,40,135.900,114,146
317,28,136.000,127,145
318,20,121.000,109,129
319,16,144.188,140,150
320,24,133.917,118,147
321,35,134.857,111,152
322,16,113.062,107,117
323,30,125.267,113,132
324,20,131.800,119,137
325,21,138.905,122,150
326,15,116.667,110,121
327,17,128.706,113,136
328,34,141.059,112,161
329,25,125.080,113,132
330,31,131.484,111,146
331,18,139.944,113,158
332,16,132.625,123,142
333,26,129.462,118,136
334,15,155.200,147,164
335,40,139.000,122,153
336,27,120.259,105,132
337,25,121.400,104,134
338,30,139.367,120,151
339,28,159.893,145,167
340,35,157.343,145,167
341,36,138.500,113,157
342,19,141.158,126,150
343,19,134.368,119,144
344,23,123.826,108,136
345,27,116.000,106,124
346,39,134.538,117,147
347,17,115.235,108,123
348,28,167.571,149,178
349,37,135.919,117,152
350,22,139.773,132,148
351,23,160.043,137,169
352,25,124.960,115,132
353,36,134.028,117,147
354,20,108.600,105,113
355,37,141.622,123,156
356,26,141.538,123,152
357,22,127.955,114,135
358,20,128.250,115,137
359,24,122.292,113,128
360,33,121.242,104,134
361,39,152.590,133,164
362,37,130.973,113,143
363,31,149.226,133,160
364,18,133.722,122,142
365,19,126.684,119,130
366,21,149.476,138,162
367,24,152.458,135,163
368,15,134.600,119,143
369,19,122.421,111,130
370,24,140.667,128,149
371,25,131.280,105,148
372,27,141.444,125,151
373,20,133.550,125,141
374,30,167.967,143,182
375,39,123.154,108,133
376,28,132.464,115,139
377,22,137.273,122,148
378,26,142.077,130,151
379,28,121.679,108,133
380,21,134.571,115,150
381,32,142.125,127,153
382,16,109.375,100,120
383,29,133.517,121,142
384,15,123.867,114,130
385,38,145.737,113,170
386,18,126.778,116,132
387,20,146.000,132,158
388,34,156.824,142,169
389,25,155.160,137,162
390,29,117.621,106,128
391,17,118.059,111,127
392,28,129.036,114,142
393,35,160.914,135,175
394,29,133.414,114,144
395,29,159.483,144,167
396,39,137.077,118,152
397,20,121.400,106,132
398,22,131.591,115,139
399,19,144.474,107,177
400,18,126.944,118,136
401,16,135.875,126,141
402,25,130.960,121,143
403,16,160.938,155,166
404,30,143.300,120,154
405,22,123.364,112,130
406,36,146.306,133,156
407,17,172.588,162,180
408,31,158.194,139,167
409,35,129.000,106,148
410,30,117.533,108,124
411,19,116.474,104,125
412,24,109.042,106,114
413,15,141.133,109,172
414,17,168.412,154,180
415,30,136.667,116,147
416,28,137.607,119,154
417,28,128.143,114,138
418,23,125.957,115,131
419,20,126.300,115,138
420,24,133.792,124,144
421,16,117.875,110,125
422,18,127.778,115,134
423,38,123.079,104,137
424,16,124.875,115,134
425,19,121.526,110,128
426,30,124.933,112,137
427,34,130.353,119,141
428,30,134.533,121,147
429,15,127.333,113,137
430,29,118.138,106,128
431,31,144.161,106,179
432,30,124.800,109,137
433,32,137.062,113,154
434,19,129.474,114,136
435,17,113.294,106,119
436,36,124.306,108,136
437,17,153.765,141,165
438,38,143.789,115,160
439,38,121.947,106,134
440,17,149.059,137,158
