 ,Area,Mean,Min,Max
1,4,183.250,181,185
2,8,150.750,143,159
3,9,150.778,140,162
4,4,156.750,155,158
5,21,155.000,141,165
6,20,140.000,129,148
7,27,149.519,127,164
8,5,133.400,129,137
9,5,147.600,145,150
10,13,162.538,147,170
11,37,162.432,143,172
12,20,164.150,152,174
13,7,159.429,155,163
14,8,134.500,132,137
15,5,163.000,162,164
16,21,139.905,128,145
17,31,155.774,138,168
18,11,142.091,135,148
19,18,141.778,132,152
20,16,135.312,128,143
21,10,120.800,117,123
22,15,125.533,115,130
23,19,129.105,121,136
24,6,129.667,125,133
25,18,134.556,127,137
26,4,133.500,133,135
27,16,138.500,130,143
28,7,105.286,103,108
29,34,154.500,126,171
30,17,163.235,150,171
31,32,133.469,129,138
32,22,147.182,127,157
33,34,155.824,132,168
34,7,114.714,111,117
35,26,142.885,121,158
36,15,157.467,143,165
37,10,111.300,108,114
38,6,140.333,136,142
39,23,130.087,120,140
40,34,140.118,127,148
41,35,128.000,113,143
42,8,131.875,128,137
43,4,122.750,115,129
44,34,152.618,135,164
45,4,139.250,134,146
46,10,115.900,106,124
47,34,132.176,119,143
48,32,137.656,121,146
49,10,121.500,116,128
50,19,134.421,124,143
51,16,111.438,108,118
52,5,134.000,129,136
53,19,159.263,138,174
54,21,131.905,112,146
55,32,168.031,144,180
56,15,135.533,127,142
57,16,157.000,142,164
58,13,116.077,112,120
59,7,122.714,119,125
60,35,126.914,107,140
61,5,130.000,128,132
62,15,142.667,132,150
63,9,169.222,161,174
64,14,150.643,140,162
65,17,130.529,114,142
66,19,126.105,116,133
67,14,141.143,126,149
68,5,101.600,98,105
69,6,104.333,102,108
70,11,132.455,119,143
71,18,112.111,108,114
72,12,133.917,127,139
73,29,111.759,101,120
74,20,131.850,125,138
75,36,123.472,109,135
76,6,162.000,160,165
77,6,107.667,104,112
78,29,144.897,113,175
79,22,156.818,134,167
80,16,117.438,106,125
81,17,167.059,154,174
82,20,119.150,104,127
83,34,138.676,121,151
84,19,116.947,110,122
85,31,167.258,140,179
86,7,113.571,109,118
87,31,134.581,113,146
88,10,106.800,102,112
89,6,103.333,101,105
90,29,124.517,111,133
91,15,114.867,108,119
92,8,103.250,101,105
93,4,137.500,134,140
94,6,107.833,103,111
95,19,139.895,132,149
96,29,131.517,109,143
97,9,126.667,124,131
98,13,162.923,155,169
99,13,122.231,114,129
100,16,146.750,136,153
101,10,111.000,103,117
102,15,125.133,119,128
103,6,110.500,107,113
104,22,117.818,109,128
105,16,115.625,108,121
106,17,139.941,131,149
107,6,128.167,126,131
108,29,141.103,125,156
109,35,116.229,99,131
110,19,134.053,125,141
111,30,123.267,107,141
112,12,133.500,126,141
113,8,121.375,117,126
114,12,126.833,117,134
115,11,134.364,129,143
116,16,138.375,129,147
117,7,106.571,103,110
118,11,125.818,120,130
119,31,146.710,127,159
120,31,105.839,101,112
121,10,102.800,99,107
122,11,117.182,106,127
123,29,137.655,122,150
124,16,115.062,109,120
125,34,122.941,110,133
126,13,128.077,121,134
127,8,107.625,105,110
128,32,157.250,116,178
129,39,126.923,103,146
130,16,134.562,129,140
131,14,112.000,108,118
132,30,161.133,148,172
133,16,154.062,142,160
134,15,106.800,101,112
135,17,125.471,115,130
136,19,145.053,134,151
137,22,129.364,119,137
138,4,112.000,107,116
139,24,137.833,127,147
140,37,116.432,100,130
141,7,119.429,115,122
142,28,121.000,106,131
143,17,119.294,109,124
144,26,111.154,102,122
145,19,115.211,104,124
146,12,133.917,126,139
147,38,145.816,129,162
148,4,149.750,140,158
149,12,160.667,144,172
150,9,135.444,124,141
151,10,111.800,109,115
152,6,114.167,110,117
153,5,132.600,129,138
154,31,122.516,99,138
155,30,120.833,105,128
156,6,123.333,119,130
157,4,130.250,128,133
158,4,140.000,135,146
159,6,123.000,116,130
160,14,131.000,118,139
161,18,116.556,107,129
162,5,118.800,115,122
163,10,115.000,107,121
164,19,148.158,132,157
165,9,135.556,130,143
166,38,130.868,112,144
167,7,119.571,114,125
168,5,116.200,114,118
169,8,115.875,113,120
170,9,114.000,111,118
171,7,140.000,133,145
172,18,130.889,117,140
173,21,135.238,120,144
174,8,147.125,141,153
175,40,153.000,126,175
176,16,133.625,121,142
177,32,152.031,136,164
178,14,140.429,133,146
179,8,120.500,116,124
180,20,146.250,130,158
181,6,103.500,101,107
182,6,153.167,147,157
183,27,111.852,101,122
184,4,124.000,119,128
185,27,143.926,126,156
186,21,173.667,160,183
187,37,123.351,104,138
188,8,125.375,119,128
189,6,101.833,101,103
190,25,134.240,124,142
191,37,155.297,132,174
192,30,121.233,112,129
193,39,116.179,97,129
194,22,109.136,101,121
195,14,105.214,99,112
196,8,106.250,102,111
197,19,129.105,122,134
198,11,164.727,151,178
199,18,107.444,101,115
200,36,149.500,115,165
201,6,104.667,100,109
202,17,138.471,130,145
203,39,140.923,108,167
204,22,117.909,107,127
205,18,137.778,125,144
206,14,118.286,111,125
207,38,167.053,143,181
208,40,124.925,99,141
209,21,126.476,100,150
210,5,105.000,103,106
211,5,109.800,106,114
212,4,106.750,105,109
213,10,157.600,150,163
214,25,142.480,125,155
215,10,147.700,136,157
216,26,129.731,106,144
217,18,123.833,113,133
218,15,120.267,113,126
219,12,122.750,115,129
220,5,125.400,119,131
221,4,109.500,108,111
222,36,110.361,100,122
223,38,150.526,125,168
224,7,134.857,133,137
225,5,104.000,101,108
226,15,105.067,101,108
227,33,120.394,102,135
228,37,148.568,125,168
229,7,137.000,133,140
230,33,155.061,127,177
231,33,123.364,102,136
232,23,147.957,117,166
233,4,113.250,110,115
234,14,114.857,110,121
235,35,123.971,102,137
236,19,146.474,133,158
237,39,129.487,103,150
238,22,122.773,107,136
239,5,120.400,115,123
240,5,125.800,121,128
241,21,122.429,104,134
242,6,110.333,107,113
243,7,138.571,129,146
244,6,141.333,136,147
245,28,110.464,102,119
246,40,141.200,123,156
247,7,139.143,128,147
248,32,129.406,111,143
249,4,123.250,121,126
250,10,109.100,101,118
251,19,125.526,110,135
252,16,147.438,132,157
253,31,157.839,126,176
254,24,111.750,101,121
255,20,109.050,102,117
256,22,119.364,109,127
257,36,116.611,107,123
258,4,106.750,99,117
259,20,109.600,102,114
260,21,112.810,101,123
261,11,112.182,102,118
262,35,123.229,100,137
263,4,116.750,115,118
264,5,114.400,103,126
265,4,114.000,112,115
266,22,141.409,121,152
267,11,118.091,113,122
268,8,116.000,107,123
269,10,123.500,117,128
270,13,147.077,134,154
271,11,105.727,101,110
272,16,122.500,111,128
273,7,105.571,102,110
274,11,103.455,99,107
275,26,121.192,107,132
276,18,112.500,100,121
277,24,128.708,113,139
278,8,147.000,142,150
279,19,118.211,109,127
280,37,147.162,116,165
281,27,123.111,113,132
282,10,141.000,135,148
283,23,122.130,109,132
284,40,140.550,111,157
285,9,106.111,102,112
286,27,114.630,108,123
287,23,120.870,107,133
288,4,109.500,106,113
289,4,104.250,103,106
290,14,129.500,114,139
291,7,127.571,123,132
292,19,147.158,128,163
293,34,155.441,122,172
294,19,134.526,128,141
295,30,123.067,106,136
296,23,127.217,109,139
297,21,165.524,147,176
298,24,112.750,103,121
299,7,138.143,134,143
300,16,131.938,119,139
301,18,120.111,111,129
302,11,135.182,124,140
303,12,127.750,119,135
304,37,122.297,104,147
305,29,114.793,104,131
306,5,114.600,112,117
307,17,120.294,105,130
308,30,122.133,106,135
309,10,109.900,108,114
310,19,118.316,102,133
311,30,130.967,113,144
312,11,137.727,123,149
313,21,131.619,122,140
314,12,139.000,129,149
315,19,150.579,139,164
316,35,116.057,101,127
317,20,134.250,113,148
318,30,116.400,104,128
319,26,160.885,141,174
320,19,108.632,103,115
321,4,149.250,147,152
322,17,128.412,121,136
323,12,109.583,105,115
324,7,114.714,111,118
325,6,111.167,106,116
326,40,161.200,132,186
327,35,117.314,107,130
328,31,114.387,103,125
329,34,111.647,101,125
330,32,124.406,107,136
331,35,141.171,117,158
332,6,115.833,107,121
333,15,114.733,107,120
334,23,117.000,102,124
335,12,151.083,141,159
336,23,130.783,120,139
337,26,112.346,101,122
338,7,109.143,106,114
339,20,138.850,126,148
340,10,107.900,105,111
341,6,102.000,100,103
342,7,107.143,104,109
343,23,107.522,101,116
344,16,112.000,101,122
345,5,168.600,163,173
346,6,107.000,101,112
347,7,122.000,119,125
348,26,150.154,130,162
349,24,114.167,100,122
350,31,109.226,100,117
351,25,111.160,103,122
352,22,115.455,107,123
353,16,148.062,131,162
354,5,127.200,121,134
355,11,112.000,106,118
356,9,103.667,101,106
357,8,120.375,114,125
358,25,105.240,99,114
359,26,142.423,132,149
360,4,150.500,147,152
361,13,104.462,102,106
362,28,132.179,116,143
363,4,124.000,121,126
364,20,103.600,100,107
365,4,137.000,131,140
366,15,119.067,114,127
367,16,142.625,132,152
368,17,138.059,118,152
369,4,121.750,112,129
370,13,108.846,103,114
371,27,112.481,104,125
372,16,150.312,124,166
373,11,150.636,141,158
374,9,128.778,124,132
375,20,127.400,119,134
376,9,108.111,105,111
377,8,147.000,138,152
378,24,120.917,106,135
379,5,108.800,105,113
380,7,122.857,117,127
381,31,137.677,123,146
382,4,101.250,100,103
383,8,115.750,107,120
384,30,142.800,130,155
385,5,107.200,104,110
386,25,113.440,101,121
387,8,118.875,115,123
388,4,101.000,99,103
389,7,106.571,105,109
390,24,109.083,101,116
391,18,112.056,107,117
392,4,118.000,116,119
393,10,105.800,101,109
394,29,159.690,133,174
395,10,142.200,135,147
396,9,105.667,101,111
397,5,134.200,129,142
398,9,106.222,101,110
399,19,114.368,108,120
400,17,106.412,100,116
401,16,103.938,99,111
402,16,112.375,106,119
403,21,108.429,102,115
404,5,112.200,105,118
405,14,123.429,113,134
406,6,134.000,127,139
407,39,111.410,100,127
408,12,137.833,125,147
409,14,106.571,100,115
410,9,126.556,120,130
411,26,112.885,102,125
412,13,122.077,110,139
413,5,105.200,102,109
414,15,103.400,99,108
415,24,123.875,110,133
416,17,106.588,101,116
417,7,124.143,115,131
418,11,120.818,112,126
419,30,117.367,105,134
420,20,137.350,128,144
421,4,135.500,132,139
422,6,103.500,101,107
423,9,132.444,126,140
424,31,112.419,101,122
425,13,102.308,99,109
426,25,121.760,114,132
427,12,105.333,100,111
428,15,141.933,130,150
429,27,107.222,100,114
430,5,99.400,99,100
431,19,142.000,126,152
432,5,109.800,108,113
433,25,111.640,102,123
434,18,108.111,101,118
435,27,133.296,111,149
436,10,100.400,98,104
437,21,127.381,108,141
438,17,105.353,101,110
439,11,105.091,99,111
440,31,105.548,99,113
441,8,120.000,115,124
442,13,112.077,107,120
443,36,107.667,102,116
444,9,115.889,112,120
