 ,Area,Mean,Min,Max
1,10,101.700,95,112
2,9,115.222,93,142
3,6,94.833,94,96
4,26,100.962,95,115
5,8,107.125,98,115
6,9,98.222,96,101
7,6,129.833,121,140
8,6,104.333,94,117
9,27,101.963,97,114
10,9,100.000,95,102
11,6,97.333,97,98
12,4,97.000,97,97
13,8,97.500,94,102
14,4,99.750,96,103
15,4,100.500,99,102
16,4,99.250,96,103
17,8,100.875,100,102
18,10,100.200,99,102
19,12,100.750,100,102
20,37,92.324,89,95
21,5,100.000,99,102
22,26,99.731,94,112
23,6,89.167,88,90
24,15,90.333,89,92
25,22,99.500,93,106
26,18,89.889,88,92
27,33,112.394,91,148
28,4,103.250,98,111
29,38,116.711,91,147
30,8,94.000,92,95
31,9,107.222,98,117
32,40,95.475,88,100
33,4,96.000,94,98
34,5,88.800,88,89
35,28,111.821,92,130
36,13,90.231,88,92
37,18,92.833,91,94
38,35,112.771,89,137
39,6,87.667,87,88
40,38,104.158,94,111
41,10,95.100,94,96
42,39,118.538,95,141
43,6,97.000,94,99
44,22,92.045,89,95
45,11,110.727,96,121
46,9,93.333,89,100
47,6,98.667,97,100
48,4,104.250,103,105
49,37,100.703,91,109
50,15,116.067,114,119
51,16,101.312,99,102
52,12,106.250,103,113
53,5,105.800,105,107
54,26,94.731,89,109
55,19,115.526,111,129
56,4,100.750,100,101
57,12,92.750,88,98
58,28,105.714,93,130
59,5,99.400,97,102
60,29,93.448,91,96
61,14,94.714,90,99
62,9,150.889,131,165
63,14,113.786,110,121
64,29,102.586,98,105
65,10,102.500,100,107
66,27,102.037,98,109
67,34,102.324,94,111
68,37,97.270,91,102
69,34,100.000,94,106
70,9,93.111,89,96
71,13,98.308,94,102
72,24,103.750,102,105
73,6,99.167,94,102
74,28,100.250,88,112
75,29,119.793,106,131
76,20,159.200,156,162
77,22,102.545,89,121
78,8,103.000,96,110
79,11,97.364,89,110
80,11,98.091,94,104
81,36,121.194,94,173
82,4,144.250,121,165
83,11,105.182,100,115
84,6,122.833,109,133
85,19,116.105,112,122
86,36,106.583,93,120
87,15,160.800,157,166
88,5,145.600,101,158
89,10,98.200,91,107
90,9,153.333,145,163
91,10,162.200,159,165
92,36,104.167,95,112
93,22,113.909,105,119
94,39,104.564,90,115
95,10,96.500,93,102
96,23,93.174,91,95
97,9,147.333,110,161
98,11,112.818,102,121
99,4,108.500,102,118
100,9,95.444,94,98
101,4,95.250,93,98
102,7,95.857,94,98
103,15,94.400,93,96
104,15,91.533,89,93
105,36,101.028,95,115
106,4,98.250,98,99
107,12,97.250,88,104
108,4,98.750,98,101
109,8,97.125,97,98
110,5,101.000,99,104
111,27,93.259,91,98
112,5,100.200,99,102
113,9,100.111,90,116
114,11,93.455,87,101
115,16,96.625,90,106
116,28,104.464,93,118
117,12,94.583,94,96
118,30,97.600,91,102
119,32,97.969,90,109
120,4,100.500,98,105
121,4,96.250,96,97
122,12,95.833,86,104
123,16,100.625,98,103
124,40,107.025,94,116
125,11,115.000,99,129
126,26,104.769,93,123
127,23,104.478,98,112
128,14,97.214,94,102
129,22,94.909,92,96
130,4,91.500,91,92
131,4,101.750,99,104
132,19,103.895,96,110
133,26,101.769,93,111
134,11,94.364,92,96
135,6,94.500,94,96
136,18,107.278,95,137
137,8,91.750,90,94
138,11,103.091,94,115
139,18,116.667,95,155
140,34,103.118,89,121
141,34,112.176,91,129
142,18,100.444,94,108
143,14,104.714,97,112
144,28,110.393,95,134
145,4,96.750,95,98
146,29,97.172,89,107
147,31,96.903,92,101
148,14,101.929,94,109
149,16,89.062,88,91
150,17,95.471,91,98
151,35,98.914,90,114
152,11,94.636,94,96
153,5,101.200,93,105
154,35,108.257,95,119
155,7,95.857,94,98
156,21,102.476,93,109
157,5,106.000,95,114
158,5,93.200,92,94
159,38,99.000,92,107
160,8,88.000,87,90
161,29,101.172,94,111
162,22,97.636,93,102
163,8,96.500,94,99
164,4,92.500,92,93
165,16,98.188,93,102
166,38,108.000,87,135
167,10,120.300,107,131
168,4,92.500,89,95
169,18,101.389,90,110
170,34,114.147,97,134
171,13,94.923,90,107
172,4,88.000,87,89
173,4,95.250,92,97
174,7,101.429,97,107
175,18,108.944,94,145
176,19,107.789,91,132
177,16,96.062,88,107
178,14,89.857,88,91
179,4,94.750,94,96
180,5,90.200,89,92
181,7,101.714,99,105
182,24,107.875,96,125
183,4,100.750,98,102
184,13,105.231,96,114
185,13,96.615,88,102
186,10,97.500,92,105
187,28,108.107,97,120
188,8,94.500,91,97
189,24,108.167,95,124
190,23,105.000,92,118
