 ,Area,Mean,Min,Max
1,22,151.636,132,167
2,18,154.611,147,159
3,26,139.692,130,151
4,17,154.059,146,160
5,26,147.692,130,158
6,17,159.118,146,166
7,17,141.118,130,152
8,28,154.750,140,165
9,29,162.138,145,177
10,28,137.143,129,143
11,28,134.643,128,140
12,15,132.933,128,139
13,36,132.417,127,139
14,27,162.444,150,168
15,24,140.667,136,145
16,15,142.000,138,146
17,23,139.565,129,147
18,22,137.227,130,145
19,27,155.259,148,164
20,24,135.583,129,142
21,20,136.000,132,141
22,19,142.737,131,151
23,19,141.684,131,150
24,28,132.964,130,137
25,18,142.944,136,151
26,18,179.556,171,186
27,24,149.417,132,163
28,33,159.758,149,167
29,23,148.043,132,162
30,15,140.933,137,143
31,15,142.933,131,151
32,17,146.529,136,153
33,26,154.577,145,164
34,19,133.368,127,137
35,16,137.625,130,147
36,27,133.148,127,144
37,16,136.750,128,146
38,18,142.889,132,151
39,21,158.476,148,164
40,18,132.222,128,136
41,27,164.296,149,175
42,29,148.414,133,159
43,16,136.812,130,144
44,26,135.500,130,144
45,20,171.400,164,177
46,24,162.458,150,172
47,21,154.143,140,170
48,38,157.289,141,166
49,24,147.875,135,155
50,28,134.750,129,143
51,22,141.864,136,149
52,26,174.808,164,181
53,31,162.645,147,171
54,17,132.000,129,135
55,21,133.524,130,137
56,18,148.611,140,156
57,29,155.621,131,173
58,18,143.222,137,147
59,16,132.250,129,137
60,16,152.438,146,163
61,23,134.174,129,138
62,25,136.240,127,149
63,21,143.238,130,158
64,23,139.783,131,150
65,21,140.048,131,151
66,15,140.533,133,149
67,27,152.259,136,162
68,36,141.278,129,152
69,18,145.278,138,149
70,30,149.033,132,161
71,40,155.925,138,172
72,25,132.520,130,137
73,28,163.464,154,172
74,15,136.733,130,146
75,17,147.412,142,152
76,20,148.800,139,158
77,18,149.722,142,155
78,33,154.848,134,166
79,17,143.059,131,153
80,16,142.250,137,152
81,19,168.053,160,176
82,17,133.824,131,138
83,30,138.033,130,146
84,18,142.444,134,151
85,21,172.095,156,182
86,25,130.080,127,134
87,23,134.609,130,140
88,31,165.645,151,175
89,31,155.355,137,166
90,19,134.474,129,140
91,16,149.375,143,155
92,15,142.800,130,148
93,26,157.462,143,164
94,23,146.478,130,156
95,39,172.615,156,182
96,33,171.970,160,183
97,19,135.263,128,143
98,29,138.793,131,144
99,26,151.115,137,156
100,25,136.080,129,141
101,25,139.560,131,148
102,26,151.846,136,160
103,22,172.227,154,182
104,23,159.174,149,165
105,16,157.375,150,162
106,36,169.361,157,180
107,35,147.371,136,158
108,30,170.400,160,180
109,39,160.974,148,170
110,15,175.267,161,189
111,22,134.864,131,138
112,22,135.545,131,141
113,27,161.667,142,177
