 ,Area,Mean,Min,Max
1,25,148.800,122,162
2,40,124.925,113,139
3,16,117.625,111,124
4,28,122.393,111,136
5,20,150.300,110,187
6,19,164.158,132,181
7,24,151.167,127,164
8,26,132.962,117,143
9,34,140.176,119,152
10,16,137.688,133,142
11,17,119.353,111,127
12,15,120.867,114,128
13,31,138.935,119,161
14,15,117.400,111,123
15,16,129.875,125,137
16,21,137.857,126,150
17,15,130.600,123,136
18,28,134.679,121,147
19,19,114.947,108,120
20,29,146.655,114,169
21,37,122.486,107,130
22,20,138.600,129,146
23,19,121.263,112,128
24,15,125.933,118,134
25,28,132.357,111,147
26,28,145.179,131,158
27,16,120.875,112,129
28,16,120.875,117,124
29,29,127.690,117,139
30,33,132.727,109,155
31,26,129.538,114,141
32,19,121.263,108,130
33,27,126.444,119,134
34,38,124.816,107,138
35,30,122.000,115,128
36,31,130.613,118,142
37,22,126.364,113,135
38,35,142.171,120,162
39,25,122.240,113,131
40,25,136.800,124,149
41,16,116.875,110,123
42,25,134.520,119,149
43,15,118.133,110,125
44,27,131.333,111,142
45,29,127.931,110,139
46,18,128.611,116,136
47,18,141.333,135,149
48,31,147.194,129,156
49,40,132.850,107,160
50,15,143.400,132,153
51,40,146.725,113,174
52,15,137.400,130,145
53,33,155.303,135,170
54,15,114.467,109,120
55,33,138.636,122,148
56,22,125.273,121,134
57,27,139.852,129,151
58,25,134.960,114,145
59,17,128.412,121,135
60,32,153.781,124,180
61,26,127.077,116,137
62,24,152.500,140,165
63,15,134.600,126,142
64,33,151.333,130,164
65,24,136.958,126,146
66,16,125.688,121,132
67,26,133.115,120,143
68,15,120.333,111,127
69,36,153.194,113,186
70,21,137.476,132,141
71,19,124.474,113,132
72,18,123.111,113,129
73,39,137.410,114,149
74,40,148.975,123,165
75,18,129.556,115,140
76,24,138.875,123,149
77,26,128.308,116,139
78,22,149.364,137,157
79,19,124.684,118,132
80,15,115.400,109,120
81,34,132.147,117,149
82,27,149.111,126,169
83,20,165.200,154,179
84,19,146.474,131,160
85,16,125.812,116,133
86,21,115.238,110,121
87,34,124.176,109,138
88,16,137.125,126,146
89,25,127.600,108,141
90,26,147.654,115,163
91,28,126.893,111,139
92,20,124.350,118,134
93,16,128.938,117,138
94,34,147.118,124,162
95,16,119.625,110,129
96,35,135.829,126,144
97,15,117.400,111,128
98,24,133.542,121,143
99,20,146.650,120,159
100,38,151.000,130,164
101,38,133.237,124,140
102,35,148.971,113,190
103,30,145.233,123,163
104,23,123.870,116,131
105,15,123.133,118,129
106,18,113.667,107,121
107,31,145.839,110,188
108,27,130.444,119,139
109,29,126.138,110,136
110,19,130.579,124,137
111,20,138.750,131,146
112,26,118.846,109,130
113,27,130.481,119,140
114,18,120.444,109,133
115,23,139.913,116,163
116,39,138.051,113,157
117,20,119.950,107,129
118,17,115.059,110,121
119,28,129.893,114,138
120,17,119.765,113,128
121,24,118.875,111,125
122,34,138.941,113,158
123,35,127.029,112,144
124,25,117.000,107,125
125,38,139.237,118,154
126,32,135.906,113,153
127,35,113.371,108,120
128,22,115.636,107,121
129,33,131.152,112,142
130,27,139.037,109,176
131,18,113.389,108,119
132,31,117.194,109,125
133,30,120.733,110,132
134,36,116.333,107,127
135,24,128.583,115,140
136,23,132.478,119,145
137,29,134.862,118,147
138,30,131.033,116,144
139,23,122.826,113,130
140,20,119.350,110,128
