 ,Area,Mean,Min,Max
1,4,117.500,117,118
2,31,124.484,116,134
3,15,177.733,176,184
4,10,111.100,110,112
5,6,173.333,173,174
6,13,111.077,110,112
7,7,109.429,109,110
8,26,108.115,107,110
9,8,106.500,106,107
10,23,113.435,109,116
11,38,111.842,107,120
12,6,110.500,110,111
13,37,112.649,107,118
14,13,115.308,112,121
15,10,113.700,108,127
16,19,108.211,107,110
17,11,107.091,107,108
18,17,109.000,106,111
19,4,108.500,106,111
20,6,119.833,119,121
21,16,115.938,111,121
22,12,123.667,119,125
23,4,118.250,116,120
24,5,99.200,99,100
25,22,114.318,110,121
26,12,103.583,102,105
27,6,117.833,116,120
28,17,107.588,106,109
29,25,108.320,103,113
30,28,107.893,103,113
31,29,117.483,109,123
32,18,126.167,122,131
33,8,113.000,109,117
34,10,111.900,109,117
35,17,104.765,102,107
36,10,117.800,116,121
37,5,124.600,124,125
38,9,111.222,109,114
39,12,112.333,110,115
40,7,112.286,110,115
41,11,107.091,106,109
42,7,109.143,107,111
43,31,110.968,106,117
44,5,108.600,108,110
45,13,106.538,106,108
46,5,124.800,110,144
47,10,122.600,119,129
48,9,102.000,102,102
49,22,101.136,101,102
50,20,105.850,104,108
51,20,110.700,108,113
52,5,107.000,106,108
53,17,107.765,106,111
54,5,125.200,125,126
55,39,113.000,105,123
56,36,108.917,104,115
57,7,100.571,99,102
58,16,105.750,103,109
59,28,108.393,105,112
60,24,102.917,100,106
61,16,117.000,104,131
62,14,110.786,109,114
63,4,109.000,108,110
64,11,111.182,109,114
65,14,115.714,111,121
66,16,105.500,104,108
67,7,104.143,104,105
68,14,105.571,104,108
69,8,103.500,103,105
70,16,115.938,110,121
71,40,123.175,108,139
72,18,106.389,102,111
73,5,106.600,105,108
74,7,112.286,108,117
75,18,109.556,107,114
76,15,110.733,109,112
77,4,111.500,111,112
78,4,101.750,101,103
79,4,115.500,107,121
80,5,115.000,107,120
81,17,139.471,132,148
82,12,107.667,105,112
83,9,99.444,98,101
84,37,113.676,105,122
85,6,102.167,101,104
86,35,126.057,109,156
87,39,114.974,106,124
88,10,100.400,97,104
89,29,127.034,110,155
90,14,104.000,102,107
91,13,108.538,106,114
92,6,116.500,113,121
93,35,108.829,104,114
94,28,109.786,107,114
95,12,109.750,108,112
96,26,112.385,106,116
97,9,106.556,105,108
98,10,110.700,109,114
99,5,107.600,106,109
100,8,110.125,109,112
101,16,125.188,111,137
102,23,106.609,103,109
103,5,103.400,103,104
104,24,115.708,110,124
105,21,110.524,107,116
106,15,109.200,106,113
107,31,112.484,104,122
108,36,116.000,108,125
109,22,107.955,106,111
110,7,108.143,106,110
111,6,107.833,107,109
112,15,112.533,108,116
113,10,106.600,106,107
114,23,111.217,108,114
115,4,110.000,108,112
116,12,108.917,107,111
117,4,113.750,112,115
118,35,110.486,105,117
119,11,108.000,107,109
120,27,105.333,103,107
121,17,109.118,105,113
122,29,109.000,105,113
123,9,106.222,104,110
124,15,108.133,106,110
125,10,108.100,106,111
126,5,113.800,111,115
127,34,108.088,105,111
128,13,108.000,107,110
129,4,112.750,111,114
130,18,104.444,104,106
131,13,106.231,104,107
132,21,113.095,106,119
133,6,110.000,109,112
134,17,112.529,105,119
135,35,112.800,107,118
136,23,110.478,107,116
137,19,113.000,109,118
138,19,110.684,107,114
139,8,105.875,105,108
140,19,107.579,105,111
141,29,115.034,108,121
142,30,133.700,113,159
143,11,104.182,103,105
144,21,107.333,105,111
145,8,109.500,109,110
146,6,103.833,103,104
147,11,106.091,104,108
148,32,118.156,108,127
149,15,107.333,104,111
150,16,103.625,103,105
151,9,103.778,103,105
152,24,104.792,104,106
153,8,102.750,102,103
154,6,108.667,107,110
155,15,110.933,108,113
156,34,117.147,108,127
157,37,119.270,109,128
158,33,110.394,106,115
159,4,102.250,102,103
160,10,117.000,115,119
161,38,116.421,105,129
162,18,108.000,104,111
163,6,109.167,108,111
164,6,102.000,102,102
165,18,109.667,105,113
166,28,116.893,108,124
167,7,107.286,107,108
168,9,107.556,107,108
169,40,124.425,109,136
170,30,130.800,111,148
171,8,114.000,111,119
172,22,115.818,111,125
173,8,112.250,110,115
174,6,103.000,102,104
175,11,102.091,101,103
176,4,101.500,101,102
177,19,111.211,107,114
178,21,107.333,105,110
179,37,124.514,112,137
180,27,110.852,107,115
181,37,111.541,106,122
182,21,115.810,109,128
183,29,115.862,108,123
184,4,99.750,99,100
185,16,111.188,106,115
186,37,111.595,105,119
187,14,105.357,104,107
